,Total Value
2023-01-31 00:00:00,1370949.6919631958
2023-02-01 00:00:00,1390966.4600372314
2023-02-02 00:00:00,1418853.1087875366
2023-02-03 00:00:00,1393090.0393486023
2023-02-06 00:00:00,1374959.9133491516
2023-02-07 00:00:00,1398132.0148468018
2023-02-08 00:00:00,1386952.8114318848
2023-02-09 00:00:00,1365307.136631012
2023-02-10 00:00:00,1366277.5406837463
2023-02-13 00:00:00,1378909.7616195679
2023-02-14 00:00:00,1378418.6959266663
2023-02-15 00:00:00,1390216.913509369
2023-02-16 00:00:00,1381548.0669021606
2023-02-17 00:00:00,1386247.5017547607
2023-02-21 00:00:00,1363973.0808258057
2023-02-22 00:00:00,1359913.5387420654
2023-02-23 00:00:00,1358436.8520736694
2023-02-24 00:00:00,1352289.8651123047
2023-02-27 00:00:00,1355738.8525009155
2023-02-28 00:00:00,1349997.85490036
2023-03-01 00:00:00,1351980.8562278748
2023-03-02 00:00:00,1360271.8702316284
2023-03-03 00:00:00,1379445.8614349365
2023-03-06 00:00:00,1371054.882144928
2023-03-07 00:00:00,1352706.8816184998
2023-03-08 00:00:00,1352720.8785057068
2023-03-09 00:00:00,1328998.8766670227
2023-03-10 00:00:00,1305222.8688240051
2023-03-13 00:00:00,1309237.8640174866
2023-03-14 00:00:00,1322426.8862724304
2023-03-15 00:00:00,1327293.8850402832
2023-03-16 00:00:00,1337594.8961257935
2023-03-17 00:00:00,1320632.872390747
2023-03-20 00:00:00,1329477.889251709
2023-03-21 00:00:00,1318606.8698883057
2023-03-22 00:00:00,1295745.8585739136
2023-03-23 00:00:00,1297491.8817520142
2023-03-24 00:00:00,1308097.8830337524
2023-03-27 00:00:00,1306553.8808822632
2023-03-28 00:00:00,1309824.8735427856
2023-03-29 00:00:00,1322080.869102478
2023-03-30 00:00:00,1328146.8906402588
2023-03-31 00:00:00,1346107.8754425049
2023-04-03 00:00:00,1354943.877029419
2023-04-04 00:00:00,1351974.86743927
2023-04-05 00:00:00,1358193.8753128052
2023-04-06 00:00:00,1359457.8834533691
2023-04-10 00:00:00,1360875.8710861206
2023-04-11 00:00:00,1365449.8586654663
2023-04-12 00:00:00,1360408.8716506958
2023-04-13 00:00:00,1373753.261756897
2023-04-14 00:00:00,1363509.981918335
2023-04-17 00:00:00,1361668.1596755981
2023-04-18 00:00:00,1361984.9767684937
2023-04-19 00:00:00,1359451.0236740112
2023-04-20 00:00:00,1352401.2998580933
2023-04-21 00:00:00,1345980.968093872
2023-04-24 00:00:00,1345678.8204193115
2023-04-25 00:00:00,1323245.5169677734
2023-04-26 00:00:00,1311078.6771774292
2023-04-27 00:00:00,1327733.2796096802
2023-04-28 00:00:00,1343791.3073539734
2023-05-01 00:00:00,1340954.953956604
2023-05-02 00:00:00,1335097.2381591797
2023-05-03 00:00:00,1350148.1874465942
2023-05-04 00:00:00,1357580.4794311523
2023-05-05 00:00:00,1350968.2134628296
2023-05-08 00:00:00,1348201.816558838
2023-05-09 00:00:00,1339785.1459503174
2023-05-10 00:00:00,1344855.432319641
2023-05-11 00:00:00,1346778.1796455383
2023-05-12 00:00:00,1346494.1000938416
2023-05-15 00:00:00,1353103.2809257507
2023-05-16 00:00:00,1345804.2663574219
2023-05-17 00:00:00,1372106.2806129456
2023-05-18 00:00:00,1387413.2740974426
2023-05-19 00:00:00,1377069.2804336548
2023-05-22 00:00:00,1381440.277004242
2023-05-23 00:00:00,1376981.2818527222
2023-05-24 00:00:00,1349585.2831840515
2023-05-25 00:00:00,1366606.9012641907
2023-05-26 00:00:00,1390624.0138053894
2023-05-30 00:00:00,1394828.3190727234
2023-05-31 00:00:00,1384915.5831336975
2023-06-01 00:00:00,1398153.2270431519
2023-06-02 00:00:00,1418699.6224403381
2023-06-05 00:00:00,1409803.70054245
2023-06-06 00:00:00,1422935.2793693542
2023-06-07 00:00:00,1429442.9949760437
2023-06-08 00:00:00,1433524.7659683228
2023-06-09 00:00:00,1441617.585659027
2023-06-12 00:00:00,1467846.941280365
2023-06-13 00:00:00,1485634.7763061523
2023-06-14 00:00:00,1485973.7664222717
2023-06-15 00:00:00,1501110.1043701172
2023-06-16 00:00:00,1492866.7149543762
2023-06-20 00:00:00,1476419.7608947754
2023-06-21 00:00:00,1468903.3720970154
2023-06-22 00:00:00,1471218.7333106995
2023-06-23 00:00:00,1466850.0315666199
2023-06-26 00:00:00,1465194.665813446
2023-06-27 00:00:00,1489289.8493766785
2023-06-28 00:00:00,1489071.8461990356
2023-06-29 00:00:00,1501344.8448181152
2023-06-30 00:00:00,1521979.8406600952
2023-07-03 00:00:00,1523922.8457450867
2023-07-05 00:00:00,1521574.8520851135
2023-07-06 00:00:00,1511721.8487739563
2023-07-07 00:00:00,1521868.8647270203
2023-07-10 00:00:00,1530682.8351020815
2023-07-11 00:00:00,1544947.8354454043
2023-07-12 00:00:00,1547635.8330726626
